Season,Player Name,Conference,Date,Team,Pos,Hight,Weight,Age,PreDraftTeam,DraftYear,YOS
2020-2021,Giannis Antetokounmpo,East,"Feb 8, 2021","
Milwaukee Bucks
",F,6-11,242,26,Filathlitikos Div II Greece (Greece),2013,7
2020-2021,De'Aaron Fox,West,"Feb 8, 2021","
Sacramento Kings
",PG,6-3,185,23,Kentucky,2017,3
2020-2021,James Harden,East,"Feb 1, 2021","
Brooklyn Nets
",SG,6-5,220,31,Arizona State,2009,11
2020-2021,Nikola Jokic,West,"Feb 1, 2021","
Denver Nuggets
",C,7-0,284,26,KK Mega Bemax (Serbia),2014,5
2020-2021,Joel Embiid,East,"Jan 25, 2021","
Philadelphia Sixers
",C,7-0,250,26,Kansas,2014,6
2020-2021,Nikola Jokic,West,"Jan 25, 2021","
Denver Nuggets
",C,7-0,284,26,KK Mega Bemax (Serbia),2014,5
2020-2021,Kevin Durant,East,"Jan 18, 2021","
Brooklyn Nets
",SF,6-10,240,32,Texas,2007,13
2020-2021,Damian Lillard,West,"Jan 18, 2021","
Portland Trail Blazers
",G,6-3,195,30,Weber State,2012,8
2020-2021,Jayson Tatum,East,"Jan 11, 2021","
Boston Celtics
",SF,6-8,210,22,Duke,2017,3
2020-2021,Luka Doncic,West,"Jan 11, 2021","
Dallas Mavericks
",SF,6-7,230,22,Real Madrid (Spain),2018,2
2020-2021,Tobias Harris,East,"Jan 4, 2021","
Philadelphia Sixers
",F,6-9,235,28,Tennessee,2011,9
2020-2021,Stephen Curry,West,"Jan 4, 2021","
Golden State Warriors
",G,6-3,190,32,Davidson,2009,11
2020-2021,Domantas Sabonis,East,"Dec 28, 2020","
Indiana Pacers
",PF,6-11,240,24,Gonzaga,2016,4
2020-2021,Brandon Ingram,West,"Dec 28, 2020","
New Orleans Pelicans
",SF,6-9,190,23,Duke,2016,4
2019-2020,Norman Powell,East,"Mar 9, 2020","
Toronto Raptors
",SG,6-4,215,26,UCLA,2015,4
2019-2020,LeBron James,West,"Mar 9, 2020","
Los Angeles Lakers
",F,6-8,250,35,St. Vincent St. Mary High School (Ohio),2003,16
2019-2020,Giannis Antetokounmpo,East,"Mar 2, 2020","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,Kristaps Porzingis,West,"Mar 2, 2020","
Dallas Mavericks
",FC,7-3,240,24,Coosur Real Betis (Spain),2015,4
2019-2020,Jayson Tatum,East,"Feb 10, 2020","
Boston Celtics
",SF,6-8,210,21,Duke,2017,2
2019-2020,Nikola Jokic,West,"Feb 10, 2020","
Denver Nuggets
",C,7-0,284,25,KK Mega Bemax (Serbia),2014,4
2019-2020,Jaylen Brown,East,"Feb 3, 2020","
Boston Celtics
",SF,6-6,223,23,California,2016,3
2019-2020,Damian Lillard,West,"Feb 3, 2020","
Portland Trail Blazers
",G,6-3,195,29,Weber State,2012,7
2019-2020,Pascal Siakam,East,"Jan 27, 2020","
Toronto Raptors
",F,6-9,230,25,New Mexico State,2016,3
2019-2020,Damian Lillard,West,"Jan 27, 2020","
Portland Trail Blazers
",G,6-3,195,29,Weber State,2012,7
2019-2020,Ben Simmons,East,"Jan 20, 2020","
Philadelphia Sixers
",PF,6-10,230,23,LSU,2016,3
2019-2020,Kawhi Leonard,West,"Jan 20, 2020","
Los Angeles Clippers
",F,6-7,230,28,San Diego State,2011,8
2019-2020,Josh Richardson,East,"Jan 13, 2020","
Philadelphia Sixers
",G,6-5,200,26,Tennessee,2015,4
2019-2020,DeMar DeRozan,West,"Jan 13, 2020","
San Antonio Spurs
",GF,6-7,220,30,USC,2009,10
2019-2020,Giannis Antetokounmpo,East,"Jan 6, 2020","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,LeBron James,West,"Jan 6, 2020","
Los Angeles Lakers
",F,6-8,250,35,St. Vincent St. Mary High School (Ohio),2003,16
2019-2020,Jaylen Brown,East,"Dec 30, 2019","
Boston Celtics
",SF,6-6,223,23,California,2016,3
2019-2020,Brandon Ingram,West,"Dec 30, 2019","
New Orleans Pelicans
",SF,6-9,190,22,Duke,2016,3
2019-2020,Kyle Lowry,East,"Dec 23, 2019","
Toronto Raptors
",PG,6-1,196,33,Villanova,2006,13
2019-2020,Dennis Schroder,West,"Dec 23, 2019","
Oklahoma City Thunder
",PG,6-1,172,26,Basketball Lowen Braunschweig (Germany),2013,6
2019-2020,Bam Adebayo,East,"Dec 16, 2019","
Miami Heat
",C,6-10,255,22,Kentucky,2017,2
2019-2020,LeBron James,West,"Dec 16, 2019","
Los Angeles Lakers
",F,6-8,250,35,St. Vincent St. Mary High School (Ohio),2003,16
2019-2020,Jimmy Butler,East,"Dec 9, 2019","
Miami Heat
",GF,6-8,232,30,Marquette,2011,8
2019-2020,Anthony Davis,West,"Dec 9, 2019","
Los Angeles Lakers
",PF,6-10,253,26,Kentucky,2012,7
2019-2020,Giannis Antetokounmpo,East,"Dec 2, 2019","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,Carmelo Anthony,West,"Dec 2, 2019","
Portland Trail Blazers
",F,6-8,240,35,Syracuse,2003,16
2019-2020,Spencer Dinwiddie,East,"Nov 25, 2019","
Brooklyn Nets
",PG,6-5,215,26,Colorado,2014,5
2019-2020,Luka Doncic,West,"Nov 25, 2019","
Dallas Mavericks
",SF,6-7,230,21,Real Madrid (Spain),2018,1
2019-2020,Nikola Vucevic,East,"Nov 18, 2019","
Orlando Magic
",PF,7-0,260,29,USC,2011,8
2019-2020,James Harden,West,"Nov 18, 2019","
Houston Rockets
",SG,6-5,220,30,Arizona State,2009,10
2019-2020,Pascal Siakam,East,"Nov 11, 2019","
Toronto Raptors
",F,6-9,230,25,New Mexico State,2016,3
2019-2020,James Harden,West,"Nov 11, 2019","
Houston Rockets
",SG,6-5,220,30,Arizona State,2009,10
2019-2020,Giannis Antetokounmpo,East,"Nov 4, 2019","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,Anthony Davis,West,"Nov 4, 2019","
Los Angeles Lakers
",PF,6-10,253,26,Kentucky,2012,7
2019-2020,Trae Young,East,"Oct 28, 2019","
Atlanta Hawks
",PG,6-1,180,21,Oklahoma,2018,1
2019-2020,Karl-Anthony Towns,West,"Oct 28, 2019","
Minnesota Timberwolves
",C,7-0,248,24,Kentucky,2015,4
2018-2019,Kemba Walker,East,"Apr 8, 2019","
Charlotte Hornets
",G,6-0,184,28,Connecticut,2011,7
2018-2019,Russell Westbrook,West,"Apr 8, 2019","
Oklahoma City Thunder
",G,6-3,200,30,UCLA,2008,10
2018-2019,Andre Drummond,East,"Apr 1, 2019","
Detroit Pistons
",C,6-11,279,25,Connecticut,2012,6
2018-2019,Damian Lillard,West,"Apr 1, 2019","
Portland Trail Blazers
",G,6-3,195,28,Weber State,2012,6
2018-2019,Trae Young,East,"Mar 25, 2019","
Atlanta Hawks
",PG,6-1,180,20,Oklahoma,2018,0
2018-2019,James Harden,West,"Mar 25, 2019","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Bradley Beal,East,"Mar 18, 2019","
Washington Wizards
",SG,6-3,207,25,Florida,2012,6
2018-2019,Rudy Gobert,West,"Mar 18, 2019","
Utah Jazz
",C,7-1,245,26,Cholet Basket (France),2013,5
2018-2019,Andre Drummond,East,"Mar 11, 2019","
Detroit Pistons
",C,6-11,279,25,Connecticut,2012,6
2018-2019,Mike Conley,West,"Mar 11, 2019","
Memphis Grizzlies
",PG,6-1,175,31,Ohio State,2007,11
2018-2019,Ben Simmons,East,"Mar 4, 2019","
Philadelphia Sixers
",PF,6-10,230,22,LSU,2016,2
2018-2019,Donovan Mitchell,West,"Mar 4, 2019","
Utah Jazz
",SG,6-3,215,22,Louisville,2017,1
2018-2019,Bojan Bogdanovic,East,"Feb 11, 2019","
Indiana Pacers
",F,6-8,216,29,KK Cibona (Croatia),2011,4
2018-2019,Paul George,West,"Feb 11, 2019","
Oklahoma City Thunder
",GF,6-9,220,28,Fresno State,2010,8
2018-2019,Giannis Antetokounmpo,East,"Feb 4, 2019","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Nikola Jokic,West,"Feb 4, 2019","
Denver Nuggets
",C,7-0,284,24,KK Mega Bemax (Serbia),2014,3
2018-2019,Giannis Antetokounmpo,East,"Jan 28, 2019","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Paul George,West,"Jan 28, 2019","
Oklahoma City Thunder
",GF,6-9,220,28,Fresno State,2010,8
2018-2019,D'Angelo Russell,East,"Jan 21, 2019","
Brooklyn Nets
",SG,6-4,193,23,Ohio State,2015,3
2018-2019,James Harden,West,"Jan 21, 2019","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Kawhi Leonard,East,"Jan 14, 2019","
Toronto Raptors
",F,6-7,230,27,San Diego State,2011,7
2018-2019,Donovan Mitchell,West,"Jan 14, 2019","
Utah Jazz
",SG,6-3,215,22,Louisville,2017,1
2018-2019,Joel Embiid,East,"Jan 7, 2019","
Philadelphia Sixers
",C,7-0,250,24,Kansas,2014,4
2018-2019,Nikola Jokic,West,"Jan 7, 2019","
Denver Nuggets
",C,7-0,284,24,KK Mega Bemax (Serbia),2014,3
2018-2019,Giannis Antetokounmpo,East,"Dec 31, 2018","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,James Harden,West,"Dec 31, 2018","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Giannis Antetokounmpo,East,"Dec 24, 2018","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Paul George,West,"Dec 24, 2018","
Oklahoma City Thunder
",GF,6-9,220,28,Fresno State,2010,8
2018-2019,Thaddeus Young,East,"Dec 17, 2018","
Indiana Pacers
",F,6-8,235,30,Georgia Tech,2007,11
2018-2019,James Harden,West,"Dec 17, 2018","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Bradley Beal,East,"Dec 10, 2018","
Washington Wizards
",SG,6-3,207,25,Florida,2012,6
2018-2019,Stephen Curry,West,"Dec 10, 2018","
Golden State Warriors
",G,6-3,190,30,Davidson,2009,9
2018-2019,Kawhi Leonard,East,"Dec 3, 2018","
Toronto Raptors
",F,6-7,230,27,San Diego State,2011,7
2018-2019,Paul Millsap,West,"Dec 3, 2018","
Denver Nuggets
",FC,6-7,257,34,Louisiana Tech,2006,12
2018-2019,Giannis Antetokounmpo,East,"Nov 26, 2018","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Tobias Harris,West,"Nov 26, 2018","
Los Angeles Clippers
",F,6-9,235,26,Tennessee,2011,7
2018-2019,Nikola Vucevic,East,"Nov 19, 2018","
Orlando Magic
",PF,7-0,260,28,USC,2011,7
2018-2019,Anthony Davis,West,"Nov 19, 2018","
New Orleans Pelicans
",PF,6-10,253,25,Kentucky,2012,6
2018-2019,Pascal Siakam,East,"Nov 12, 2018","
Toronto Raptors
",F,6-9,230,24,New Mexico State,2016,2
2018-2019,C.J. McCollum,West,"Nov 12, 2018","
Portland Trail Blazers
",G,6-3,190,27,Lehigh,2013,5
2018-2019,Victor Oladipo,East,"Nov 5, 2018","
Indiana Pacers
",G,6-4,210,26,Indiana,2013,5
2018-2019,Russell Westbrook,West,"Nov 5, 2018","
Oklahoma City Thunder
",G,6-3,200,30,UCLA,2008,10
2018-2019,Giannis Antetokounmpo,East,"Oct 29, 2018","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Stephen Curry,West,"Oct 29, 2018","
Golden State Warriors
",G,6-3,190,30,Davidson,2009,9
2018-2019,Kemba Walker,East,"Oct 22, 2018","
Charlotte Hornets
",G,6-0,184,28,Connecticut,2011,7
2018-2019,Nikola Jokic,West,"Oct 22, 2018","
Denver Nuggets
",C,7-0,284,24,KK Mega Bemax (Serbia),2014,3
2017-2018,Ben Simmons,East,"Apr 9, 2018","
Philadelphia Sixers
",PF,6-10,230,21,LSU,2016,1
2017-2018,Nikola Jokic,West,"Apr 9, 2018","
Denver Nuggets
",C,7-0,284,23,KK Mega Bemax (Serbia),2014,2
2017-2018,Victor Oladipo,East,"Apr 2, 2018","
Indiana Pacers
",G,6-4,210,25,Indiana,2013,4
2017-2018,Damian Lillard,West,"Apr 2, 2018","
Portland Trail Blazers
",G,6-3,195,27,Weber State,2012,5
2017-2018,LeBron James,East,"Mar 26, 2018","
Cleveland Cavaliers
",F,6-8,250,33,St. Vincent St. Mary High School (Ohio),2003,14
2017-2018,LaMarcus Aldridge,West,"Mar 26, 2018","
San Antonio Spurs
",FC,6-11,265,32,Texas,2006,11
2017-2018,LeBron James,East,"Mar 19, 2018","
Cleveland Cavaliers
",F,6-8,250,33,St. Vincent St. Mary High School (Ohio),2003,14
2017-2018,Russell Westbrook,West,"Mar 19, 2018","
Oklahoma City Thunder
",G,6-3,200,29,UCLA,2008,9
2017-2018,DeMar DeRozan,East,"Mar 12, 2018","
Toronto Raptors
",GF,6-7,220,28,USC,2009,8
2017-2018,Damian Lillard,West,"Mar 12, 2018","
Portland Trail Blazers
",G,6-3,195,27,Weber State,2012,5
2017-2018,DeMar DeRozan,East,"Mar 5, 2018","
Toronto Raptors
",GF,6-7,220,28,USC,2009,8
2017-2018,Anthony Davis,West,"Mar 5, 2018","
New Orleans Pelicans
",PF,6-10,253,24,Kentucky,2012,5
2017-2018,Joel Embiid,East,"Feb 12, 2018","
Philadelphia Sixers
",C,7-0,250,23,Kansas,2014,3
2017-2018,James Harden,West,"Feb 12, 2018","
Houston Rockets
",SG,6-5,220,28,Arizona State,2009,8
2017-2018,Andre Drummond,East,"Feb 5, 2018","
Detroit Pistons
",C,6-11,279,24,Connecticut,2012,5
2017-2018,James Harden,West,"Feb 5, 2018","
Houston Rockets
",SG,6-5,220,28,Arizona State,2009,8
2017-2018,Khris Middleton,East,"Jan 29, 2018","
Milwaukee Bucks
",SF,6-8,222,26,Texas A&M,2012,5
2017-2018,Stephen Curry,West,"Jan 29, 2018","
Golden State Warriors
",G,6-3,190,29,Davidson,2009,8
2017-2018,Joel Embiid,East,"Jan 22, 2018","
Philadelphia Sixers
",C,7-0,250,23,Kansas,2014,3
2017-2018,Damian Lillard,West,"Jan 22, 2018","
Portland Trail Blazers
",G,6-3,195,27,Weber State,2012,5
2017-2018,Goran Dragic,East,"Jan 15, 2018","
Miami Heat
",G,6-3,190,31,Union Olimpija (Slovenia),2008,9
2017-2018,Lou Williams,West,"Jan 15, 2018","
Los Angeles Clippers
",G,6-1,175,31,South Gwinnett High School (Georgia),2005,12
2017-2018,DeMar DeRozan,East,"Jan 8, 2018","
Toronto Raptors
",GF,6-7,220,28,USC,2009,8
2017-2018,Stephen Curry,West,"Jan 8, 2018","
Golden State Warriors
",G,6-3,190,29,Davidson,2009,8
2017-2018,Bradley Beal,East,"Jan 2, 2018","
Washington Wizards
",SG,6-3,207,24,Florida,2012,5
2017-2018,Lou Williams,West,"Jan 2, 2018","
Los Angeles Clippers
",G,6-1,175,31,South Gwinnett High School (Georgia),2005,12
2017-2018,DeMar DeRozan,East,"Dec 26, 2017","
Toronto Raptors
",GF,6-7,220,28,USC,2009,8
2017-2018,Russell Westbrook,West,"Dec 26, 2017","
Oklahoma City Thunder
",G,6-3,200,29,UCLA,2008,9
2017-2018,LeBron James,East,"Dec 18, 2017","
Cleveland Cavaliers
",F,6-8,250,33,St. Vincent St. Mary High School (Ohio),2003,14
2017-2018,Chris Paul,West,"Dec 18, 2017","
Houston Rockets
",PG,6-0,175,32,Wake Forest,2005,12
2017-2018,Victor Oladipo,East,"Dec 11, 2017","
Indiana Pacers
",G,6-4,210,25,Indiana,2013,4
2017-2018,Kevin Durant,West,"Dec 11, 2017","
Golden State Warriors
",SF,6-10,240,29,Texas,2007,10
2017-2018,LeBron James,East,"Dec 4, 2017","
Cleveland Cavaliers
",F,6-8,250,33,St. Vincent St. Mary High School (Ohio),2003,14
2017-2018,James Harden,West,"Dec 4, 2017","
Houston Rockets
",SG,6-5,220,28,Arizona State,2009,8
2017-2018,Goran Dragic,East,"Nov 27, 2017","
Miami Heat
",G,6-3,190,31,Union Olimpija (Slovenia),2008,9
2017-2018,Anthony Davis,West,"Nov 27, 2017","
New Orleans Pelicans
",PF,6-10,253,24,Kentucky,2012,5
2017-2018,DeMar DeRozan,East,"Nov 20, 2017","
Toronto Raptors
",GF,6-7,220,28,USC,2009,8
2017-2018,Karl-Anthony Towns,West,"Nov 20, 2017","
Minnesota Timberwolves
",C,7-0,248,22,Kentucky,2015,2
2017-2018,Tobias Harris,East,"Nov 13, 2017","
Detroit Pistons
",F,6-9,235,25,Tennessee,2011,6
2017-2018,Nikola Jokic,West,"Nov 13, 2017","
Denver Nuggets
",C,7-0,284,23,KK Mega Bemax (Serbia),2014,2
2017-2018,Kristaps Porzingis,East,"Nov 6, 2017","
New York Knicks
",FC,7-3,240,22,Coosur Real Betis (Spain),2015,2
2017-2018,James Harden,West,"Nov 6, 2017","
Houston Rockets
",SG,6-5,220,28,Arizona State,2009,8
2017-2018,Victor Oladipo,East,"Oct 30, 2017","
Indiana Pacers
",G,6-4,210,25,Indiana,2013,4
2017-2018,DeMarcus Cousins,West,"Oct 30, 2017","
New Orleans Pelicans
",C,6-11,270,27,Kentucky,2010,7
2017-2018,Giannis Antetokounmpo,East,"Oct 23, 2017","
Milwaukee Bucks
",F,6-11,242,23,Filathlitikos Div II Greece (Greece),2013,4
2017-2018,James Harden,West,"Oct 23, 2017","
Houston Rockets
",SG,6-5,220,28,Arizona State,2009,8
2016-2017,Paul George,East,"Apr 10, 2017","
Indiana Pacers
",GF,6-9,220,26,Fresno State,2010,6
2016-2017,Russell Westbrook,West,"Apr 10, 2017","
Oklahoma City Thunder
",G,6-3,200,28,UCLA,2008,8
2016-2017,Jimmy Butler,East,"Apr 3, 2017","
Chicago Bulls
",GF,6-8,232,27,Marquette,2011,5
2016-2017,Stephen Curry,West,"Apr 3, 2017","
Golden State Warriors
",G,6-3,190,28,Davidson,2009,7
2016-2017,DeMar DeRozan,East,"Mar 27, 2017","
Toronto Raptors
",GF,6-7,220,27,USC,2009,7
2016-2017,James Harden,West,"Mar 27, 2017","
Houston Rockets
",SG,6-5,220,27,Arizona State,2009,7
2016-2017,Hassan Whiteside,East,"Mar 20, 2017","
Miami Heat
",C,7-1,265,27,Marshall,2010,4
2016-2017,Damian Lillard,West,"Mar 20, 2017","
Portland Trail Blazers
",G,6-3,195,26,Weber State,2012,4
2016-2017,John Wall,East,"Mar 13, 2017","
Washington Wizards
",PG,6-4,210,26,Kentucky,2010,6
2016-2017,Karl-Anthony Towns,West,"Mar 13, 2017","
Minnesota Timberwolves
",C,7-0,248,21,Kentucky,2015,1
2016-2017,Kemba Walker,East,"Mar 6, 2017","
Charlotte Hornets
",G,6-0,184,26,Connecticut,2011,5
2016-2017,Kawhi Leonard,West,"Mar 6, 2017","
San Antonio Spurs
",F,6-7,230,25,San Diego State,2011,5
2016-2017,LeBron James,East,"Feb 13, 2017","
Cleveland Cavaliers
",F,6-8,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,Blake Griffin,West,"Feb 13, 2017","
Los Angeles Clippers
",PF,6-10,250,27,Oklahoma,2009,7
2016-2017,Isaiah Thomas,East,"Feb 6, 2017","
Boston Celtics
",PG,5-9,185,28,Washington,2011,5
2016-2017,Stephen Curry,West,"Feb 6, 2017","
Golden State Warriors
",G,6-3,190,28,Davidson,2009,7
2016-2017,Dion Waiters,East,"Jan 30, 2017","
Miami Heat
",SG,6-4,215,25,Syracuse,2012,4
2016-2017,DeMarcus Cousins,West,"Jan 30, 2017","
Sacramento Kings
",C,6-11,270,26,Kentucky,2010,6
2016-2017,Joel Embiid,East,"Jan 23, 2017","
Philadelphia Sixers
",C,7-0,250,22,Kansas,2014,2
2016-2017,Kawhi Leonard,West,"Jan 23, 2017","
San Antonio Spurs
",F,6-7,230,25,San Diego State,2011,5
2016-2017,DeMar DeRozan,East,"Jan 16, 2017","
Toronto Raptors
",GF,6-7,220,27,USC,2009,7
2016-2017,Gordon Hayward,West,"Jan 16, 2017","
Utah Jazz
",GF,6-7,225,26,Butler,2010,6
2016-2017,Jimmy Butler,East,"Jan 9, 2017","
Chicago Bulls
",GF,6-8,232,27,Marquette,2011,5
2016-2017,Stephen Curry,West,"Jan 9, 2017","
Golden State Warriors
",G,6-3,190,28,Davidson,2009,7
2016-2017,John Wall,East,"Jan 2, 2017","
Washington Wizards
",PG,6-4,210,26,Kentucky,2010,6
2016-2017,James Harden,West,"Jan 2, 2017","
Houston Rockets
",SG,6-5,220,27,Arizona State,2009,7
2016-2017,Isaiah Thomas,East,"Dec 26, 2016","
Boston Celtics
",PG,5-9,185,28,Washington,2011,5
2016-2017,Russell Westbrook,West,"Dec 26, 2016","
Oklahoma City Thunder
",G,6-3,200,28,UCLA,2008,8
2016-2017,DeMar DeRozan,East,"Dec 19, 2016","
Toronto Raptors
",GF,6-7,220,27,USC,2009,7
2016-2017,James Harden,West,"Dec 19, 2016","
Houston Rockets
",SG,6-5,220,27,Arizona State,2009,7
2016-2017,LeBron James,East,"Dec 12, 2016","
Cleveland Cavaliers
",F,6-8,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,Marc Gasol,West,"Dec 12, 2016","
Memphis Grizzlies
",C,7-1,255,32,CB Girona (Spain),2007,8
2016-2017,Giannis Antetokounmpo,East,"Dec 5, 2016","
Milwaukee Bucks
",F,6-11,242,22,Filathlitikos Div II Greece (Greece),2013,3
2016-2017,Russell Westbrook,West,"Dec 5, 2016","
Oklahoma City Thunder
",G,6-3,200,28,UCLA,2008,8
2016-2017,Kevin Love,East,"Nov 28, 2016","
Cleveland Cavaliers
",FC,6-8,247,28,UCLA,2008,8
2016-2017,Kevin Durant,West,"Nov 28, 2016","
Golden State Warriors
",SF,6-10,240,28,Texas,2007,9
2016-2017,Jimmy Butler,East,"Nov 21, 2016","
Chicago Bulls
",GF,6-8,232,27,Marquette,2011,5
2016-2017,Anthony Davis,West,"Nov 21, 2016","
New Orleans Pelicans
",PF,6-10,253,23,Kentucky,2012,4
2016-2017,DeMar DeRozan,East,"Nov 14, 2016","
Toronto Raptors
",GF,6-7,220,27,USC,2009,7
2016-2017,James Harden,West,"Nov 14, 2016","
Houston Rockets
",SG,6-5,220,27,Arizona State,2009,7
2016-2017,LeBron James,East,"Nov 7, 2016","
Cleveland Cavaliers
",F,6-8,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,George Hill,West,"Nov 7, 2016","
Utah Jazz
",G,6-3,188,30,IUPUI,2008,8
2016-2017,LeBron James,East,"Oct 31, 2016","
Cleveland Cavaliers
",F,6-8,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,Russell Westbrook,West,"Oct 31, 2016","
Oklahoma City Thunder
",G,6-3,200,28,UCLA,2008,8
2015-2016,Paul Millsap,East,"Apr 11, 2016","
Atlanta Hawks
",FC,6-7,257,31,Louisiana Tech,2006,9
2015-2016,Karl-Anthony Towns,West,"Apr 11, 2016","
Minnesota Timberwolves
",C,7-0,248,20,Kentucky,2015,0
2015-2016,LeBron James,East,"Apr 4, 2016","
Cleveland Cavaliers
",F,6-8,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,J.J. Barea,West,"Apr 4, 2016","
Dallas Mavericks
",G,5-10,180,31,Northeastern,2006,9
2015-2016,LeBron James,East,"Mar 28, 2016","
Cleveland Cavaliers
",F,6-8,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,Klay Thompson,West,"Mar 28, 2016","
Golden State Warriors
",G,6-6,215,26,Washington State,2011,4
2015-2016,Kyle Lowry,East,"Mar 21, 2016","
Toronto Raptors
",PG,6-1,196,29,Villanova,2006,9
2015-2016,Kevin Durant,West,"Mar 21, 2016","
Oklahoma City Thunder
",SF,6-10,240,27,Texas,2007,8
2015-2016,Kemba Walker,East,"Mar 14, 2016","
Charlotte Hornets
",G,6-0,184,25,Connecticut,2011,4
2015-2016,Stephen Curry,West,"Mar 14, 2016","
Golden State Warriors
",G,6-3,190,27,Davidson,2009,6
2015-2016,LeBron James,East,"Mar 7, 2016","
Cleveland Cavaliers
",F,6-8,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,Kawhi Leonard,West,"Mar 7, 2016","
San Antonio Spurs
",F,6-7,230,24,San Diego State,2011,4
2015-2016,Kyle Lowry,East,"Feb 29, 2016","
Toronto Raptors
",PG,6-1,196,29,Villanova,2006,9
2015-2016,Stephen Curry,West,"Feb 29, 2016","
Golden State Warriors
",G,6-3,190,27,Davidson,2009,6
2015-2016,Isaiah Thomas,East,"Feb 8, 2016","
Boston Celtics
",PG,5-9,185,27,Washington,2011,4
2015-2016,LaMarcus Aldridge,West,"Feb 8, 2016","
San Antonio Spurs
",FC,6-11,265,30,Texas,2006,9
2015-2016,Dwyane Wade,East,"Feb 1, 2016","
Miami Heat
",SG,6-4,220,34,Marquette,2003,12
2015-2016,Kevin Durant,West,"Feb 1, 2016","
Oklahoma City Thunder
",SF,6-10,240,27,Texas,2007,8
2015-2016,Kemba Walker,East,"Jan 25, 2016","
Charlotte Hornets
",G,6-0,184,25,Connecticut,2011,4
2015-2016,DeMarcus Cousins,West,"Jan 25, 2016","
Sacramento Kings
",C,6-11,270,25,Kentucky,2010,5
2015-2016,John Wall,East,"Jan 18, 2016","
Washington Wizards
",PG,6-4,210,25,Kentucky,2010,5
2015-2016,Kevin Durant,West,"Jan 18, 2016","
Oklahoma City Thunder
",SF,6-10,240,27,Texas,2007,8
2015-2016,LeBron James,East,"Jan 11, 2016","
Cleveland Cavaliers
",F,6-8,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,Chris Paul,West,"Jan 11, 2016","
Los Angeles Clippers
",PG,6-0,175,30,Wake Forest,2005,10
2015-2016,Brook Lopez,East,"Jan 4, 2016","
Brooklyn Nets
",C,7-0,270,27,Stanford,2008,7
2015-2016,Draymond Green,West,"Jan 4, 2016","
Golden State Warriors
",F,6-6,230,25,Michigan State,2012,3
2015-2016,Marcin Gortat,East,"Dec 28, 2015","
Washington Wizards
",FC,6-11,240,32,Koln 99ers (Germany),2005,8
2015-2016,Russell Westbrook,West,"Dec 28, 2015","
Oklahoma City Thunder
",G,6-3,200,27,UCLA,2008,7
2015-2016,Reggie Jackson,East,"Dec 21, 2015","
Detroit Pistons
",G,6-3,208,25,Boston College,2011,4
2015-2016,Kawhi Leonard,West,"Dec 21, 2015","
San Antonio Spurs
",F,6-7,230,24,San Diego State,2011,4
2015-2016,DeMar DeRozan,East,"Dec 14, 2015","
Toronto Raptors
",GF,6-7,220,26,USC,2009,6
2015-2016,Kevin Durant,West,"Dec 14, 2015","
Oklahoma City Thunder
",SF,6-10,240,27,Texas,2007,8
2015-2016,Reggie Jackson,East,"Dec 7, 2015","
Detroit Pistons
",G,6-3,208,25,Boston College,2011,4
2015-2016,Stephen Curry,West,"Dec 7, 2015","
Golden State Warriors
",G,6-3,190,27,Davidson,2009,6
2015-2016,Paul George,East,"Nov 30, 2015","
Indiana Pacers
",GF,6-9,220,25,Fresno State,2010,5
2015-2016,Kevin Durant,West,"Nov 30, 2015","
Oklahoma City Thunder
",SF,6-10,240,27,Texas,2007,8
2015-2016,LeBron James,East,"Nov 23, 2015","
Cleveland Cavaliers
",F,6-8,250,31,St. Vincent St. Mary High School (Ohio),2003,12
